RAYMOUR & FLANIGAN FURNITURE,133 E 14TH STREET,NEW YORK,NY,10003,USA,6466520372,,,,2013-08-26 23:49:09.73971,2013-08-26 23:49:09.73971,,t,40.73429018,-73.98943839,KnownAlternateStreetNameAndZip
HUFFMAN KOOS,43 WEST 23RD STREET,NEW YORK,NY,10010,USA,2126331800,,,,2013-08-26 23:49:09.73971,2013-08-26 23:49:09.73971,,t,40.74228323,-73.99089126,ExactMatchStreetAndZip
RAYMOUR & FLANIGAN FURNITURE,43 W W 23RD STREET,NEW YORK,NY,10010,USA,6468848250,,,,2013-08-26 23:49:09.73971,2013-08-26 23:49:09.73971,,t,40.7357,-73.9758,MatchToZip
RAYMOUR & FLANIGAN FURNITURE,135 E 125TH STREET,NEW YORK,NY,10035,USA,9173866808,,,,2013-08-26 23:49:09.73971,2013-08-26 23:49:09.73971,,t,40.80445526,-73.93752632,KnownAlternateStreetNameAndZip
RAYMOUR & FLANIGAN FURNITURE,2795 RICHMOND Ave.,STATEN ISLAND,NY,10314,USA,7183033568,,,,2013-08-26 23:49:09.73971,2013-08-26 23:49:09.73971,,t,40.57940488,-74.16929681,ExactMatchStreetAndZip
CORNER FURNITURE,2916 WHITE PLAINS RD.,BRONX,NY,10467,USA,7188817503,,,,2013-08-26 23:49:09.73971,2013-08-26 23:49:09.73971,,t,40.86818278,-73.86708398,ExactMatchStreetAndZip
RAYMOUR & FLANIGAN FURNITURE,2264 BARTOW Ave.,BRONX,NY,10475,USA,7189063600,,,,2013-08-26 23:49:09.73971,2013-08-26 23:49:09.73971,,t,40.86856818,-73.82191364,ExactMatchStreetAndZip
RAYMOUR & FLANIGAN FURNITURE,1855 CENTRAL PARK Ave.,YONKERS,NY,10710,USA,9147933404,,,,2013-08-26 23:49:09.73971,2013-08-26 23:49:09.73971,,t,40.96184116,-73.8404059,ExactMatchStreetAndZip
RAYMOUR & FLANIGAN FURNITURE,1406 ELM STREET,WEST SPRINGFIELD,MA,1089,USA,4137342181,,,,2013-08-26 23:49:09.73971,2013-08-26 23:49:09.73971,,t,42.12433488,-72.62644143,ExactMatchStreetAndZip
SUFFERN FURNITURE GALLERY,110 LAFAYETTE Ave.,SUFFERN,NY,10901,USA,8453571107,,,,2013-08-26 23:49:09.73971,2013-08-26 23:49:09.73971,,t,41.1151,-74.14943333,ExactMatchStreetAndZip
